id,title,prompt,negative_prompt,output_path
RC-011,Microscopy Mineral Surface,"Microscopy Mineral Surface, cinematic historical documentary style, photorealistic, 16:9, no text.","text, watermark, logo, captions, fantasy ruins, cartoon style, plastic texture, exaggerated CGI, modern construction helmets in ancient scenes, impossible architecture, low resolution, blurry image, deformed hands, extra fingers",assets/images/RC-011.png
RC-012,Crystal Growth in Pores,"Crystal Growth in Pores, cinematic historical documentary style, photorealistic, 16:9, no text.","text, watermark, logo, captions, fantasy ruins, cartoon style, plastic texture, exaggerated CGI, modern construction helmets in ancient scenes, impossible architecture, low resolution, blurry image, deformed hands, extra fingers",assets/images/RC-012.png
RC-013,Roman Concrete Cross Section,"Roman Concrete Cross Section, cinematic historical documentary style, photorealistic, 16:9, no text.","text, watermark, logo, captions, fantasy ruins, cartoon style, plastic texture, exaggerated CGI, modern construction helmets in ancient scenes, impossible architecture, low resolution, blurry image, deformed hands, extra fingers",assets/images/RC-013.png
RC-014,Roman Harbor Construction,"Roman Harbor Construction, cinematic historical documentary style, photorealistic, 16:9, no text.","text, watermark, logo, captions, fantasy ruins, cartoon style, plastic texture, exaggerated CGI, modern construction helmets in ancient scenes, impossible architecture, low resolution, blurry image, deformed hands, extra fingers",assets/images/RC-014.png
RC-015,Formula Variation,"Formula Variation, cinematic historical documentary style, photorealistic, 16:9, no text.","text, watermark, logo, captions, fantasy ruins, cartoon style, plastic texture, exaggerated CGI, modern construction helmets in ancient scenes, impossible architecture, low resolution, blurry image, deformed hands, extra fingers",assets/images/RC-015.png
RC-016,Cement Factory Emissions,"Cement Factory Emissions, cinematic historical documentary style, photorealistic, 16:9, no text.","text, watermark, logo, captions, fantasy ruins, cartoon style, plastic texture, exaggerated CGI, modern construction helmets in ancient scenes, impossible architecture, low resolution, blurry image, deformed hands, extra fingers",assets/images/RC-016.png
RC-017,Low Carbon Future,"Low Carbon Future, cinematic historical documentary style, photorealistic, 16:9, no text.","text, watermark, logo, captions, fantasy ruins, cartoon style, plastic texture, exaggerated CGI, modern construction helmets in ancient scenes, impossible architecture, low resolution, blurry image, deformed hands, extra fingers",assets/images/RC-017.png
RC-018,MIT Hot Mixing Recreation,"MIT Hot Mixing Recreation, cinematic historical documentary style, photorealistic, 16:9, no text.","text, watermark, logo, captions, fantasy ruins, cartoon style, plastic texture, exaggerated CGI, modern construction helmets in ancient scenes, impossible architecture, low resolution, blurry image, deformed hands, extra fingers",assets/images/RC-018.png
RC-019,Lime Clasts Macro,"Lime Clasts Macro, cinematic historical documentary style, photorealistic, 16:9, no text.","text, watermark, logo, captions, fantasy ruins, cartoon style, plastic texture, exaggerated CGI, modern construction helmets in ancient scenes, impossible architecture, low resolution, blurry image, deformed hands, extra fingers",assets/images/RC-019.png
RC-020,Pantheon Dome Layers,"Pantheon Dome Layers, cinematic historical documentary style, photorealistic, 16:9, no text.","text, watermark, logo, captions, fantasy ruins, cartoon style, plastic texture, exaggerated CGI, modern construction helmets in ancient scenes, impossible architecture, low resolution, blurry image, deformed hands, extra fingers",assets/images/RC-020.png
RC-021,Mediterranean Harbor Network,"Mediterranean Harbor Network, cinematic historical documentary style, photorealistic, 16:9, no text.","text, watermark, logo, captions, fantasy ruins, cartoon style, plastic texture, exaggerated CGI, modern construction helmets in ancient scenes, impossible architecture, low resolution, blurry image, deformed hands, extra fingers",assets/images/RC-021.png
RC-022,Old vs Modern Concrete Contrast,"Old vs Modern Concrete Contrast, cinematic historical documentary style, photorealistic, 16:9, no text.","text, watermark, logo, captions, fantasy ruins, cartoon style, plastic texture, exaggerated CGI, modern construction helmets in ancient scenes, impossible architecture, low resolution, blurry image, deformed hands, extra fingers",assets/images/RC-022.png
RC-023,Pantheon Final Reflection,"Pantheon Final Reflection, cinematic historical documentary style, photorealistic, 16:9, no text.","text, watermark, logo, captions, fantasy ruins, cartoon style, plastic texture, exaggerated CGI, modern construction helmets in ancient scenes, impossible architecture, low resolution, blurry image, deformed hands, extra fingers",assets/images/RC-023.png
RC-024,Future Learning From Ancient Material,"Future Learning From Ancient Material, cinematic historical documentary style, photorealistic, 16:9, no text.","text, watermark, logo, captions, fantasy ruins, cartoon style, plastic texture, exaggerated CGI, modern construction helmets in ancient scenes, impossible architecture, low resolution, blurry image, deformed hands, extra fingers",assets/images/RC-024.png
